,Q,PS,TS
1948-01-01,-9999.0,4.1,-10.9
1948-01-02,-9999.0,0.6,-7.2
1948-01-03,-9999.0,0.1,-3.7
1948-01-04,-9999.0,4.4,-2.9
1948-01-05,-9999.0,8.7,-5.8
1948-01-06,-9999.0,20.7,-6.6
1948-01-07,-9999.0,10.4,-4.4
1948-01-08,-9999.0,4.0,-4.3
1948-01-09,-9999.0,3.8,-7.3
1948-01-10,-9999.0,1.0,-4.7
1948-01-11,-9999.0,3.4,-6.7
1948-01-12,-9999.0,0.1,-2.8
1948-01-13,-9999.0,0.0,-3.7
1948-01-14,-9999.0,1.6,-3.6
1948-01-15,-9999.0,0.9,-6.6
1948-01-16,-9999.0,0.0,-5.8
1948-01-17,-9999.0,1.4,-5.8
1948-01-18,-9999.0,2.8,-7.2
1948-01-19,-9999.0,1.0,-6.3
1948-01-20,-9999.0,0.1,-9.8
1948-01-21,-9999.0,0.8,-10.4
1948-01-22,-9999.0,12.7,-8.8
1948-01-23,-9999.0,29.3,-8.0
1948-01-24,-9999.0,4.9,-5.7
1948-01-25,-9999.0,9.1,-3.8
1948-01-26,-9999.0,23.4,-5.0
1948-01-27,-9999.0,7.7,-6.3
1948-01-28,-9999.0,17.3,-4.8
1948-01-29,-9999.0,2.1,-5.7
1948-01-30,-9999.0,0.3,-4.1
1948-01-31,-9999.0,0.5,-3.7
1948-02-01,-9999.0,0.1,0.0
1948-02-02,-9999.0,0.2,-1.9
1948-02-03,-9999.0,1.4,0.5
1948-02-04,-9999.0,7.4,-2.6
1948-02-05,-9999.0,0.1,-3.1
1948-02-06,-9999.0,0.4,-2.8
1948-02-07,-9999.0,0.1,-2.3
1948-02-08,-9999.0,0.0,-1.1
1948-02-09,-9999.0,0.1,-0.8
1948-02-10,-9999.0,0.2,0.8
1948-02-11,-9999.0,0.0,-2.0
1948-02-12,-9999.0,0.0,-3.0
1948-02-13,-9999.0,0.0,-1.7
1948-02-14,-9999.0,0.0,-1.4
1948-02-15,-9999.0,0.0,-1.8
1948-02-16,-9999.0,0.5,-1.6
1948-02-17,-9999.0,1.1,-7.3
1948-02-18,-9999.0,0.4,-10.0
1948-02-19,-9999.0,0.1,-13.0
1948-02-20,-9999.0,2.9,-11.4
1948-02-21,-9999.0,3.5,-10.6
1948-02-22,-9999.0,1.7,-8.9
1948-02-23,-9999.0,0.0,-14.9
1948-02-24,-9999.0,0.0,-11.5
1948-02-25,-9999.0,0.0,-6.5
1948-02-26,-9999.0,0.0,-4.5
1948-02-27,-9999.0,0.0,-3.0
1948-02-28,-9999.0,0.0,0.8
1948-02-29,-9999.0,0.0,0.2
1948-03-01,-9999.0,0.0,-0.1
1948-03-02,-9999.0,0.0,-2.0
1948-03-03,-9999.0,0.0,1.6
1948-03-04,-9999.0,0.0,4.0
1948-03-05,-9999.0,0.0,4.5
1948-03-06,-9999.0,0.0,4.5
1948-03-07,-9999.0,0.0,4.4
1948-03-08,-9999.0,0.0,3.0
1948-03-09,-9999.0,0.0,4.5
1948-03-10,-9999.0,0.0,7.2
1948-03-11,-9999.0,0.0,5.8
1948-03-12,-9999.0,0.0,4.9
1948-03-13,-9999.0,0.0,3.5
1948-03-14,-9999.0,0.0,3.6
1948-03-15,-9999.0,0.0,4.2
1948-03-16,-9999.0,0.1,2.0
1948-03-17,-9999.0,0.0,4.4
1948-03-18,-9999.0,0.2,2.5
1948-03-19,-9999.0,0.0,0.9
1948-03-20,-9999.0,0.0,1.1
1948-03-21,-9999.0,0.0,4.5
1948-03-22,-9999.0,0.0,3.4
1948-03-23,-9999.0,0.0,1.7
1948-03-24,-9999.0,0.0,3.1
1948-03-25,-9999.0,0.0,5.5
1948-03-26,-9999.0,0.0,3.0
1948-03-27,-9999.0,0.0,3.8
1948-03-28,-9999.0,0.0,2.5
1948-03-29,-9999.0,4.6,-0.2
1948-03-30,-9999.0,2.0,-0.6
1948-03-31,-9999.0,17.6,1.5
1948-04-01,-9999.0,7.4,0.0
1948-04-02,-9999.0,8.4,-1.6
1948-04-03,-9999.0,8.1,-2.6
1948-04-04,-9999.0,13.2,-0.4
1948-04-05,-9999.0,5.8,-0.4
1948-04-06,-9999.0,0.2,-2.8
1948-04-07,-9999.0,0.2,0.2
1948-04-08,-9999.0,3.4,1.4
1948-04-09,-9999.0,0.0,-2.0
1948-04-10,-9999.0,0.0,-1.4
1948-04-11,-9999.0,0.0,1.4
1948-04-12,-9999.0,0.0,2.9
1948-04-13,-9999.0,0.0,6.0
1948-04-14,-9999.0,3.6,6.6
1948-04-15,-9999.0,13.6,5.5
1948-04-16,-9999.0,1.7,1.9
1948-04-17,-9999.0,0.9,4.0
1948-04-18,-9999.0,1.5,6.0
1948-04-19,-9999.0,1.2,3.3
1948-04-20,-9999.0,12.1,4.1
1948-04-21,-9999.0,11.3,6.0
1948-04-22,-9999.0,10.6,2.3
1948-04-23,-9999.0,1.0,0.8
1948-04-24,-9999.0,1.0,3.1
1948-04-25,-9999.0,1.3,4.4
1948-04-26,-9999.0,0.0,5.0
1948-04-27,-9999.0,1.5,4.9
1948-04-28,-9999.0,10.7,3.7
1948-04-29,-9999.0,20.6,1.6
1948-04-30,-9999.0,3.6,0.1
1948-05-01,-9999.0,7.5,0.5
1948-05-02,-9999.0,9.4,0.3
1948-05-03,-9999.0,10.3,0.2
1948-05-04,-9999.0,0.1,3.1
1948-05-05,-9999.0,1.0,4.9
1948-05-06,-9999.0,0.5,5.5
1948-05-07,-9999.0,0.9,4.9
1948-05-08,-9999.0,1.9,7.5
1948-05-09,-9999.0,4.2,6.7
1948-05-10,-9999.0,0.2,7.6
1948-05-11,-9999.0,0.0,7.5
1948-05-12,-9999.0,3.6,10.7
1948-05-13,-9999.0,15.7,10.3
1948-05-14,-9999.0,9.5,7.9
1948-05-15,-9999.0,0.7,8.7
1948-05-16,-9999.0,1.1,8.6
1948-05-17,-9999.0,0.3,9.2
1948-05-18,-9999.0,1.1,9.1
1948-05-19,-9999.0,1.6,11.2
1948-05-20,-9999.0,1.4,8.1
1948-05-21,-9999.0,0.6,5.5
1948-05-22,-9999.0,0.9,5.5
1948-05-23,-9999.0,0.9,5.6
1948-05-24,-9999.0,1.4,5.8
1948-05-25,-9999.0,5.5,4.8
1948-05-26,-9999.0,10.2,5.1
1948-05-27,-9999.0,4.5,3.8
1948-05-28,-9999.0,3.6,8.2
1948-05-29,-9999.0,4.1,3.7
1948-05-30,-9999.0,0.8,3.5
1948-05-31,-9999.0,1.7,4.4
1948-06-01,-9999.0,5.5,3.5
1948-06-02,-9999.0,5.8,2.1
1948-06-03,-9999.0,9.3,6.8
1948-06-04,-9999.0,0.1,3.8
1948-06-05,-9999.0,0.0,6.0
1948-06-06,-9999.0,0.0,10.0
1948-06-07,-9999.0,0.0,11.1
1948-06-08,-9999.0,0.0,12.4
1948-06-09,-9999.0,4.6,13.9
1948-06-10,-9999.0,13.6,12.9
1948-06-11,-9999.0,4.1,12.3
1948-06-12,-9999.0,2.0,11.8
1948-06-13,-9999.0,3.6,11.8
1948-06-14,-9999.0,3.3,12.1
1948-06-15,-9999.0,1.9,11.1
1948-06-16,-9999.0,5.1,10.1
1948-06-17,-9999.0,20.5,11.4
1948-06-18,-9999.0,34.7,11.7
1948-06-19,-9999.0,15.3,6.4
1948-06-20,-9999.0,1.0,3.6
1948-06-21,-9999.0,0.1,4.1
1948-06-22,-9999.0,0.2,6.2
1948-06-23,-9999.0,0.3,5.8
1948-06-24,-9999.0,0.0,5.4
1948-06-25,-9999.0,0.0,6.2
1948-06-26,-9999.0,0.3,6.9
1948-06-27,-9999.0,0.4,8.6
1948-06-28,-9999.0,0.5,8.6
1948-06-29,-9999.0,0.0,4.0
1948-06-30,-9999.0,0.0,3.5
1948-07-01,-9999.0,0.4,3.0
1948-07-02,-9999.0,0.1,5.6
